Algoritmo,BER,Repeticao,Bytes_TCP,Bytes_Totais,Eficiencia,Vazao_TCP_Mbps
reno,1e-05,1,520,524,0.9924,153.0
reno,1e-05,2,20,20,1.0,154.0
reno,1e-05,3,20,20,1.0,160.0
reno,1e-05,4,20,20,1.0,152.0
reno,1e-05,5,20,20,1.0,152.0
reno,1e-05,6,20,20,1.0,154.0
reno,1e-05,7,20,20,1.0,156.0
reno,1e-05,8,520,532,0.9774,160.0
cubic,1e-05,1,20,20,1.0,153.0
cubic,1e-05,2,20,20,1.0,155.0
cubic,1e-05,3,20,20,1.0,164.0
cubic,1e-05,4,20,20,1.0,156.0
cubic,1e-05,5,520,524,0.9924,152.0
cubic,1e-05,6,20,20,1.0,157.0
cubic,1e-05,7,20,20,1.0,154.0
cubic,1e-05,8,20,20,1.0,150.0
